"X","site","block","plot","position_x","position_y","species","sp","mother","micro_topography","light","sand","time","height","diameter","survival","flood"
127,"A1","A","Low",280,240,"Shorea leprosula","Slep","Slep1RDCm",20.1533333333333,32,53.849,0,NA,NA,1,NA
128,"A1","A","Low",280,280,"Shorea seminis","Ssem","Ssem1",18.3533333333333,32,53.849,0,NA,NA,1,NA
129,"A1","B","High",0,0,"Shorea mecistopteryx","Smec","Smec1",99.5266666666667,26,43.363,0,NA,NA,1,NA
130,"A1","B","High",0,40,"Shorea waltonii","Swal","Swal1",100.026666666667,26,43.363,0,NA,NA,1,NA
131,"A1","B","High",0,80,"Shorea seminis","Ssem","Ssem1",116.026666666667,26,43.363,0,NA,NA,1,NA
132,"A1","B","High",0,120,"Shorea mecistopteryx","Smec","Smec1",115.026666666667,26,43.363,0,NA,NA,1,NA
133,"A1","B","High",0,160,"Shorea gibbosa","Sgib","Sgib1",115.526666666667,26,43.363,0,NA,NA,1,NA
134,"A1","B","High",0,200,"Shorea acuminatissima","Sacu","8MSacu2",113.026666666667,26,43.363,0,NA,NA,1,NA
135,"A1","B","High",0,240,"Shorea seminis","Ssem","Ssem1",114.026666666667,26,43.363,0,NA,NA,1,NA
136,"A1","B","High",0,280,"Shorea macroptera","Smac","Smac1",115.526666666667,26,43.363,0,NA,NA,1,NA
137,"A1","B","High",40,0,"Shorea xanthophylla","Sxan","11HSxan1a",113.026666666667,26,43.363,0,NA,NA,1,NA
138,"A1","B","High",40,40,"Shorea seminis","Ssem","Ssem1",115.326666666667,26,43.363,0,NA,NA,1,NA
139,"A1","B","High",40,80,"Shorea leprosula","Slep","8PSlep2a",118.526666666667,26,43.363,0,NA,NA,1,NA
140,"A1","B","High",40,120,"Parashorea tomentella","Ptom","8LPtom6a",116.026666666667,26,43.363,0,NA,NA,1,NA
141,"A1","B","High",40,160,"Parashorea tomentella","Ptom","PtomRDC1a",115.026666666667,26,43.363,0,NA,NA,1,NA
142,"A1","B","High",40,200,"Shorea leprosula","Slep","9PSlep2m",115.026666666667,26,43.363,0,NA,NA,1,NA
143,"A1","B","High",40,240,"Shorea seminis","Ssem","Ssem1",114.526666666667,26,43.363,0,NA,NA,1,NA
144,"A1","B","High",40,280,"Shorea acuminatissima","Sacu","9OSacu3",117.026666666667,26,43.363,0,NA,NA,1,NA
145,"A1","B","High",80,0,"Shorea parvifolia","Spar","9QSpar10",117.026666666667,26,43.363,0,NA,NA,1,NA
