"","ID","longitude","latitude","species","sp","mlim","DBH","life_strategy","elevation","species_wood_density"
"64","12KDacu18",604913.7886,647104.2045,"Dipterocarpus acutangulus","Dacu",40,120.3,"Subcanopy",106.172,0.635
"65","12KDacu19",604904.4946,647146.5688,"Dipterocarpus acutangulus","Dacu",40,57.9,"Subcanopy",94.832,0.635
"66","12KDacu2",604948.5903,647259.0427,"Dipterocarpus acutangulus","Dacu",40,129,"Subcanopy",94.69501,0.635
"67","12KDacu20",604893.445,647133.652,"Dipterocarpus acutangulus","Dacu",40,100.5,"Subcanopy",102.85001,0.635
"68","12KDacu21",604897.1038,647150.2417,"Dipterocarpus acutangulus","Dacu",40,60.1,"Subcanopy",93.095,0.635
"69","12KDacu22",604902.6239,647159.464,"Dipterocarpus acutangulus","Dacu",40,61.5,"Subcanopy",84.492,0.635
"70","12KDacu23",604887.8938,647142.8557,"Dipterocarpus acutangulus","Dacu",40,128.4,"Subcanopy",98.46201,0.635
"71","12KDacu24",604906.3045,647163.1554,"Dipterocarpus acutangulus","Dacu",40,90.2,"Subcanopy",81.633,0.635
"72","12KDacu25",604898.9621,647144.717,"Dipterocarpus acutangulus","Dacu",40,115,"Subcanopy",96.42001,0.635
"73","12KDacu26",604895.314,647115.229,"Dipterocarpus acutangulus","Dacu",40,57.5,"Subcanopy",105.94601,0.635
"74","12KDacu27",604891.6054,647128.121,"Dipterocarpus acutangulus","Dacu",40,78,"Subcanopy",105.564,0.635
"75","12KDacu28",604880.5248,647133.6302,"Dipterocarpus acutangulus","Dacu",40,85,"Subcanopy",104.592,0.635
"76","12KDacu29",604878.6448,647152.0531,"Dipterocarpus acutangulus","Dacu",40,65,"Subcanopy",94.07201,0.635
"77","12KDacu3",604909.8717,647240.5512,"Dipterocarpus acutangulus","Dacu",40,120,"Subcanopy",98.37601,0.635
"78","12KDacu30",604849.0944,647172.2721,"Dipterocarpus acutangulus","Dacu",40,100,"Subcanopy",89.55901,0.635
"79","12KDacu31",604830.6167,647185.1391,"Dipterocarpus acutangulus","Dacu",40,55,"Subcanopy",79.61201,0.635
"80","12KDacu32",604810.354,647166.6789,"Dipterocarpus acutangulus","Dacu",40,120,"Subcanopy",92.537,0.635
"81","12KDacu33",604823.2601,647168.5432,"Dipterocarpus acutangulus","Dacu",40,90,"Subcanopy",89.76601,0.635
"82","12KDacu34",604850.954,647159.3769,"Dipterocarpus acutangulus","Dacu",40,70.5,"Subcanopy",96.50401,0.635
"83","12KDacu35",604814.0905,647137.2034,"Dipterocarpus acutangulus","Dacu",40,140.5,"Subcanopy",89.164,0.635
"84","12KDacu36",604797.3841,647196.1388,"Dipterocarpus acutangulus","Dacu",40,110,"Subcanopy",85.191,0.635
"85","12KDacu37",604801.0522,647207.2007,"Dipterocarpus acutangulus","Dacu",40,87.8,"Subcanopy",78.15701,0.635
"86","12KDacu38",604812.3099,647096.6628,"Dipterocarpus acutangulus","Dacu",40,115,"Subcanopy",88.64001,0.635
"87","12KDacu39",604804.9271,647102.1782,"Dipterocarpus acutangulus","Dacu",40,52,"Subcanopy",89.314,0.635
"88","12KDacu4",604887.7508,647227.6157,"Dipterocarpus acutangulus","Dacu",40,120,"Subcanopy",100.67001,0.635
"89","12KDacu40",604836.3015,647096.7033,"Dipterocarpus acutangulus","Dacu",40,60,"Subcanopy",80.538,0.635
"90","12KDacu41",604834.4495,647098.5428,"Dipterocarpus acutangulus","Dacu",40,100,"Subcanopy",80.568,0.635
"91","12KDacu42",604867.676,647091.2283,"Dipterocarpus acutangulus","Dacu",40,130.8,"Subcanopy",87.116,0.635
"92","12KDacu43",604860.2683,647111.4847,"Dipterocarpus acutangulus","Dacu",40,105,"Subcanopy",96.636,0.635
"93","12KDacu44",604849.1752,647124.3642,"Dipterocarpus acutangulus","Dacu",40,48.5,"Subcanopy",96.80901,0.635
"94","12KDacu45",604832.5682,647124.3362,"Dipterocarpus acutangulus","Dacu",40,80.3,"Subcanopy",88.94501,0.635
"95","12KDacu5",604898.7755,647255.2735,"Dipterocarpus acutangulus","Dacu",40,112,"Subcanopy",90.61401,0.635
"96","12KDacu6",604865.602,647231.2635,"Dipterocarpus acutangulus","Dacu",40,55,"Subcanopy",97.44401,0.635
"97","12KDacu7",604878.5515,647207.3313,"Dipterocarpus acutangulus","Dacu",40,140,"Subcanopy",90.41601,0.635
"98","12KDacu8",604885.9734,647185.2325,"Dipterocarpus acutangulus","Dacu",40,80,"Subcanopy",80.951,0.635
"99","12KDacu9",604917.3385,647185.2854,"Dipterocarpus acutangulus","Dacu",40,154.4,"Subcanopy",93.35201,0.635
"100","12LDacu1",605086.985,647257.4338,"Dipterocarpus acutangulus","Dacu",40,140,"Subcanopy",87.21101,0.635
"101","12LDacu10",605007.6617,647242.5589,"Dipterocarpus acutangulus","Dacu",40,153,"Subcanopy",87.605,0.635
"102","12LDacu11",604983.8163,647155.9159,"Dipterocarpus acutangulus","Dacu",40,53,"Subcanopy",85.80601,0.635
"103","12LDacu2",605103.6169,647242.7211,"Dipterocarpus acutangulus","Dacu",40,60,"Subcanopy",92.28001,0.635
"104","12LDacu3",605083.4118,647183.7233,"Dipterocarpus acutangulus","Dacu",40,118,"Subcanopy",96.89301,0.635
"105","12LDacu4",605039.0828,647209.445,"Dipterocarpus acutangulus","Dacu",40,119,"Subcanopy",99.271,0.635
"106","12LDacu5",605031.7124,647207.5899,"Dipterocarpus acutangulus","Dacu",40,110,"Subcanopy",95.372,0.635
"107","12LDacu6",605051.9252,647255.5321,"Dipterocarpus acutangulus","Dacu",40,121,"Subcanopy",95.49901,0.635
"108","12LDacu7",604987.4115,647216.7282,"Dipterocarpus acutangulus","Dacu",40,65,"Subcanopy",91.18001,0.635
"109","12LDacu8",604983.6359,647262.7871,"Dipterocarpus acutangulus","Dacu",40,95,"Subcanopy",94.759,0.635
"110","12LDacu9",605024.2998,647224.1609,"Dipterocarpus acutangulus","Dacu",40,120,"Subcanopy",95.536,0.635
"111","12QDacu1",606090.9872,647137.5261,"Dipterocarpus acutangulus","Dacu",40,90,"Subcanopy",115.704,0.635
"112","8PDacu1",605822.0557,647947.82,"Dipterocarpus acutangulus","Dacu",40,82.3,"Subcanopy",82.316,0.635
"113","9JDcau8",604669.2974,647651.0484,"Dipterocarpus acutangulus","Dacu",40,NA,"Subcanopy",68.729,0.635
"114","9JDapp1",604744.9658,647640.1202,"Dipterocarpus applanatus","Dapp",40,83.5,"Subcanopy",68.98,0.64
"115","9JDapp2",604615.5945,647767.0425,"Dipterocarpus applanatus","Dapp",40,48,"Subcanopy",70.367,0.64
"116","9JDapp3",604731.771,647809.6183,"Dipterocarpus applanatus","Dapp",40,61,"Subcanopy",67.829,0.64
"117","10HDcau01",604422.1082,647611.9376,"Dipterocarpus caudiferus","Dcau",40,52,"Subcanopy",68.94801,0.632142857142857
"118","10HDcau02",604435.1226,647549.3107,"Dipterocarpus caudiferus","Dcau",40,65,"Subcanopy",69.02901,0.632142857142857
"119","10HDcau03",604429.5715,647558.5145,"Dipterocarpus caudiferus","Dcau",40,129,"Subcanopy",71.75401,0.632142857142857
"120","10HDcau04",604263.3728,647635.6251,"Dipterocarpus caudiferus","Dcau",40,40,"Subcanopy",82.244,0.632142857142857
"121","10HDcau05",604431.4452,647543.7767,"Dipterocarpus caudiferus","Dcau",40,90,"Subcanopy",69.041,0.632142857142857
"122","10HDcau06",604437.0303,647514.3043,"Dipterocarpus caudiferus","Dcau",40,60,"Subcanopy",72.556,0.632142857142857
"123","10IDcau01",604475.6807,647573.3328,"Dipterocarpus caudiferus","Dcau",40,100,"Subcanopy",69.513,0.632142857142857
"124","10IDcau03",604483.0962,647554.9192,"Dipterocarpus caudiferus","Dcau",40,67.4,"Subcanopy",68.51501,0.632142857142857
"125","10IDcau04",604462.8101,647543.8294,"Dipterocarpus caudiferus","Dcau",40,70,"Subcanopy",69.021,0.632142857142857
"126","10IDcau05",604588.4499,647450.0675,"Dipterocarpus caudiferus","Dcau",40,60.7,"Subcanopy",67.827,0.632142857142857
"127","10IDcau06",604446.327,647470.0973,"Dipterocarpus caudiferus","Dcau",40,88,"Subcanopy",71.411,0.632142857142857
"128","10JDcau1",604710.1688,647488.9673,"Dipterocarpus caudiferus","Dcau",40,64,"Subcanopy",73.831,0.632142857142857
"129","10JDcau3",604704.6798,647461.3188,"Dipterocarpus caudiferus","Dcau",40,64,"Subcanopy",73.187,0.632142857142857
"130","10JDcau4",604700.9416,647485.2665,"Dipterocarpus caudiferus","Dcau",40,60.2,"Subcanopy",70.21301,0.632142857142857
"131","10JDcau5",604761.9268,647430.0909,"Dipterocarpus caudiferus","Dcau",40,72,"Subcanopy",68.65501,0.632142857142857
"132","10JDcau6",604752.5647,647512.9927,"Dipterocarpus caudiferus","Dcau",40,60,"Subcanopy",68.709,0.632142857142857
"133","10JDcau7",604747.0477,647501.9278,"Dipterocarpus caudiferus","Dcau",40,53.3,"Subcanopy",68.92001,0.632142857142857
"134","10KDcau1",604865.1979,647470.8026,"Dipterocarpus caudiferus","Dcau",40,53,"Subcanopy",68.40601,0.632142857142857
