species,sp,mother,block,position,treatment,initial_diameter,final_wood_density
Shorea smithiana,Ssmi,Ssmi_5,B,45,9,5.76,0.492680421
Parashorea malaanonan,Pmal,Pmal_Tawau,B,46,21,4.79,
Shorea parvifolia,Spar,9P_Spar_2,B,47,12,2.85,
Shorea parvifolia,Spar,SP_m_7,B,48,9,3.31,0.460113306
Parashorea malaanonan,Pmal,12H_Pmal_1,B,49,12,3.92,0.517296605
Shorea johorensis,Sjoh,8m_SJoh_6,B,50,12,2.61,
Shorea parvifolia,Spar,Sp_m_3,B,51,18,5.39,0.436022379
Shorea seminis,Ssem,SS,B,52,18,3.89,
Dryobalanops lanceolata,Dry,DL_m_6,B,53,9,3.14,0.575179261
Dryobalanops lanceolata,Dry,DL_Tawau,B,54,3,4.53,0.384086982
Shorea leprosula,Slep,SL_m_1,B,55,9,2.85,0.550114902
Shorea smithiana,Ssmi,Ssmi_4,B,56,0,5.03,0.36095558
Shorea johorensis,Sjoh,8L_SJoh_50,B,57,9,4.39,
Parashorea tomentella,Ptom,9J_Ptom_14,B,58,18,2.91,
Shorea smithiana,Ssmi,Ssmi_3A,B,59,18,3.25,
Shorea johorensis,Sjoh,8K_SJoh_8,B,60,0,3.71,0.385379702
Shorea smithiana,Ssmi,9H_Ssmi_4,B,61,9,5.14,0.37701312
Shorea xanthophylla,Sxan,11H_Sxan_1,B,62,3,5.42,
Shorea leprosula,Slep,8P_Slep_4,B,63,15,4.23,0.467548949
Parashorea tomentella,Ptom,Pt_m_5,B,64,3,4.43,0.596333175
Dryobalanops lanceolata,Dry,DL_m_2,B,65,6,5.34,0.600011956
Shorea smithiana,Ssmi,Ssmi_19,B,66,12,5.59,0.460558043
Parashorea malaanonan,Pmal,Pm_m_4,B,67,21,4.51,0.555967289
Shorea johorensis,Sjoh,ou_SJoh,B,68,6,4.66,0.525109378
Shorea leprosula,Slep,SL_m_72,B,69,15,4.36,0.422532588
Shorea seminis,Ssem,SS,B,70,0,3.42,0.534338358
Shorea parvifolia,Spar,9Q_Spar_10,B,71,21,5.14,0.534338358
Shorea smithiana,Ssmi,Ssmi_Tawau,B,72,6,4.16,0.534338358
Shorea parvifolia,Spar,Spar_1,B,73,6,3.22,0.534338358
Parashorea malaanonan,Pmal,Pmal_m_1,B,74,12,3.97,0.656600994
Shorea leprosula,Slep,Slep_1,B,75,6,4.49,
Parashorea tomentella,Ptom,Ptom_3_rdc,B,76,6,4.84,0.565622055
Shorea johorensis,Sjoh,SJ_m_5,B,77,6,3.13,0.471695663
Shorea johorensis,Sjoh,8K_SJoh_8,B,78,9,3.3,0.452784176
Shorea johorensis,Sjoh,8m_SJoh_7,B,79,18,4.1,
Shorea johorensis,Sjoh,S.Joh_m_7,B,80,15,3.57,0.558414171
Shorea seminis,Ssem,SS,B,81,9,4.04,0.596595165
Parashorea tomentella,Ptom,Pt_m_4,B,82,3,4.16,
Shorea johorensis,Sjoh,8m_SJoh_9,B,83,15,4.11,
Shorea seminis,Ssem,SS,B,84,9,3.42,0.564483581
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,B,85,12,3.21,
Shorea smithiana,Ssmi,Ssmi_Tawau,B,86,18,5.02,0.524566312
Dryobalanops lanceolata,Dry,DL_m_1,B,87,18,7.17,0.520105407
Shorea leprosula,Slep,SL_maliau,B,88,12,4.3,
Parashorea malaanonan,Pmal,12H_Pmal_1,B,89,3,4.05,0.574577222
Shorea johorensis,Sjoh,SJ_m_4,B,90,3,3.46,0.470753007
Shorea beccariana,Sbec,Sbec_Sfr,B,91,18,4.73,
Shorea seminis,Ssem,Ssem_ou,B,92,18,2.97,0.657872813
Shorea xanthophylla,Sxan,9K_Sxan_29,B,93,9,2.97,
Dryobalanops lanceolata,Dry,DL_m_6,B,94,0,3.16,0.442072245
Shorea xanthophylla,Sxan,Sxan_3_RDC,B,95,0,2.81,0.62517245
Parashorea malaanonan,Pmal,8L_Pmal_9,B,96,6,4.2,0.566731312
Shorea smithiana,Ssmi,Ssmi_19,B,97,6,4.92,0.416992535
Parashorea malaanonan,Pmal,8_m_Pmal_8,B,98,18,4.17,
Parashorea tomentella,Ptom,Ptom_2_RDC,B,99,21,3.6,
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,B,100,6,4.84,0.481152607
Shorea leprosula,Slep,SL_m_114,B,101,21,3.64,
Shorea seminis,Ssem,SS,B,102,21,2.62,
Shorea leprosula,Slep,8Pslep_2,B,103,21,4.08,0.45701586
Shorea seminis,Ssem,Ssem_ou,B,104,6,3.97,0.592221135
Dryobalanops lanceolata,Dry,DL_Tawau,B,105,15,3.97,0.469372044
Dryobalanops lanceolata,Dry,Dl_m_4,B,106,18,5.14,0.561047135
Shorea parvifolia,Spar,SP_m_5,B,107,15,3.28,0.561047135
Shorea xanthophylla,Sxan,8L_Sxan_10,B,108,0,3.36,0.447668543
Shorea johorensis,Sjoh,8m_SJoh_7,B,109,12,4.09,0.643347499
Shorea xanthophylla,Sxan,11H_Sxan_1,B,110,6,2.97,0.723339658
Shorea xanthophylla,Sxan,9K_Sxan_2,B,111,18,2.98,
Shorea xanthophylla,Sxan,8m_Sxan_3,B,112,15,3.94,
Shorea leprosula,Slep,12I_Slep_3,B,113,12,5.23,0.335826908
Shorea beccariana,Sbec,Sbec_Sfr,B,114,15,3.93,
Shorea leprosula,Slep,SL_m_6,B,115,0,3.96,0.355401872
Shorea johorensis,Sjoh,S.Joh_m_7,B,116,21,2.74,0.600430108
Parashorea tomentella,Ptom,8L_Ptom_6,B,117,6,4.04,
Parashorea malaanonan,Pmal,Pmal_1_RDC,B,118,15,4.65,0.622377622
Shorea smithiana,Ssmi,Ssmi_5,B,119,21,4.14,0.498167424
Shorea seminis,Ssem,SS,B,120,12,3.14,0.704559395
Shorea xanthophylla,Sxan,Sxan_1,B,121,12,4.11,
Dryobalanops lanceolata,Dry,DL_m_7,B,122,21,5.27,0.58685446
Shorea seminis,Ssem,SS,B,123,3,3.59,0.600554017
Shorea parvifolia,Spar,SP_m_7,B,124,21,2.93,0.600554017
Shorea leprosula,Slep,Slep_m_122,B,125,3,3.56,0.490391941
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,B,126,0,4.17,0.356663552
Shorea seminis,Ssem,SS,B,127,15,2.9,0.74124895
Shorea parvifolia,Spar,Sp_m_4,B,128,6,3.26,0.502803738
Shorea smithiana,Ssmi,Ssmi_Tawau,B,129,15,4.53,0.502803738
Dryobalanops lanceolata,Dry,DL_m_3,B,130,15,4.44,0.577574617
Shorea parvifolia,Spar,Sp_m_1,B,131,0,4.19,0.393635978
Parashorea tomentella,Ptom,Ptom_3,B,132,9,4.24,
Shorea parvifolia,Spar,SP_m_5,B,133,9,4.34,0.486810103
Shorea beccariana,Sbec,Sbec_Sfr,B,134,21,5.36,
Dryobalanops lanceolata,Dry,DL_m_1,B,135,12,6.57,0.49975442
Parashorea tomentella,Ptom,Pt_m_4,B,136,15,3.99,0.667129513
Dryobalanops lanceolata,Dry,DL_m_7,B,137,9,5.22,0.521392641
Parashorea malaanonan,Pmal,Pm_m_5,B,138,18,4,0.592841163
Shorea xanthophylla,Sxan,9K_Sxan_29,B,139,21,3.33,
