species,sp,mother,block,position,treatment,initial_diameter,final_wood_density
Parashorea tomentella,Ptom,9J_Ptom_14,E,91,21,4.09,
Parashorea malaanonan,Pmal,9L_Pmal_9,E,92,0,2.73,0.503170577
Shorea johorensis,Sjoh,8m_SJoh_6,E,93,12,4.28,0.460356653
Shorea xanthophylla,Sxan,9K_Sxan_2,E,94,0,2.99,0.570266974
Parashorea malaanonan,Pmal,Pm_m_3,E,95,3,3.95,0.622101146
Shorea leprosula,Slep,Slep_1,E,96,9,4.23,0.524301184
Parashorea malaanonan,Pmal,Pm_m_4,E,97,21,3.62,0.624209124
Parashorea malaanonan,Pmal,Pmal_m_2,E,98,9,3.38,0.502340094
Dryobalanops lanceolata,Dry,DL_m_7,E,99,12,5.52,0.520015011
Shorea smithiana,Ssmi,Ssmi_4,E,100,9,6.4,0.327481477
Parashorea tomentella,Ptom,8L_Ptom_6,E,101,15,3.74,
Shorea seminis,Ssem,SS,E,102,9,2.81,0.740463725
Shorea smithiana,Ssmi,Ssmi_Tawau,E,103,18,6.04,0.740463725
Parashorea malaanonan,Pmal,Pmal_m_1,E,104,12,4.17,0.554602774
Shorea leprosula,Slep,8P_Slep_4,E,105,18,4.5,0.389540949
Shorea xanthophylla,Sxan,9K_Sxan_2,E,106,18,2.96,
Parashorea tomentella,Ptom,Ptom_m_3,E,107,6,3.94,0.542176433
Shorea seminis,Ssem,SS,E,108,12,3.17,0.799004975
Shorea leprosula,Slep,SL_m_108,E,109,21,3.87,0.383160899
Dryobalanops lanceolata,Dry,DL_m_1,E,110,21,5.64,0.464443393
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,E,111,21,3.99,
Shorea smithiana,Ssmi,Ssmi_3A,E,112,12,4.06,0.376468462
Shorea seminis,Ssem,Ssem_ou,E,113,15,3.34,0.770464829
Parashorea malaanonan,Pmal,8_m_Pmal_8,E,114,15,3.24,
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,E,115,0,3.91,
Shorea parvifolia,Spar,SP_m_5,E,116,0,4.36,0.453002611
Shorea smithiana,Ssmi,Ssmi_Tawau,E,117,6,4.82,0.347928437
Shorea johorensis,Sjoh,8m_SJoh_6,E,118,0,4.57,0.406784632
Shorea leprosula,Slep,8P_Slep_4,E,119,0,4.73,0.32303304
Dryobalanops lanceolata,Dry,DL_m_2,E,120,0,5.58,0.458183212
Dryobalanops lanceolata,Dry,DL_m_2,E,121,15,5.42,0.507105943
Shorea johorensis,Sjoh,ou_SJoh_23A,E,122,15,3.7,
Parashorea tomentella,Ptom,Ptom_1_RDC,E,123,15,3.46,
Shorea xanthophylla,Sxan,8m_Sxan_3,E,124,6,3.87,0.602368866
Shorea leprosula,Slep,8Q_Slep_4,E,125,18,3.2,0.460844699
Shorea johorensis,Sjoh,8L_SJoh_50,E,126,3,3.18,0.460358403
Shorea johorensis,Sjoh,8m_SJoh_7,E,127,15,4.34,0.572668513
Shorea seminis,Ssem,SS,E,128,21,3.47,
Shorea smithiana,Ssmi,Ssmi_m_2,E,129,21,4.58,
Shorea seminis,Ssem,SS,E,130,21,4.39,0.664771651
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,E,131,6,3.47,0.506477225
Shorea leprosula,Slep,12I_Slep_3,E,132,21,5.01,0.326425247
Shorea xanthophylla,Sxan,8n_Sxan,E,133,21,3.14,
Shorea xanthophylla,Sxan,Sxan_1_RDC,E,134,15,3.77,
Shorea smithiana,Ssmi,Ssmi_Tawau,E,135,12,5.34,0.351787846
Parashorea malaanonan,Pmal,9j_Pmal_1,E,136,6,4.3,0.577311652
Shorea parvifolia,Spar,9P_Spar_2,E,137,18,2.88,0.40015273
Dryobalanops lanceolata,Dry,DL_m_7,E,138,9,5.06,0.509153622
Shorea beccariana,Sbec,Sbec_Sfr,E,139,12,3.53,0.508708511
Shorea parvifolia,Spar,9P_Spar_2,E,140,3,3.44,0.393867645
Shorea seminis,Ssem,SS,E,141,0,3.77,0.490732244
Shorea xanthophylla,Sxan,8L_Sxan_10,E,142,9,3.42,0.665285833
Parashorea malaanonan,Pmal,Pm_m_5,E,143,6,4.59,0.548041127
Shorea xanthophylla,Sxan,8n_Sxan,E,144,3,3.55,0.542555531
Shorea leprosula,Slep,SL_m_114,E,145,9,3.88,0.470735368
Shorea parvifolia,Spar,SP_m_7,E,146,6,4.07,0.398645426
Shorea smithiana,Ssmi,Ssmi_5,E,147,0,6.01,0.410517187
Shorea parvifolia,Spar,SP_m_5,E,148,9,3.03,0.410517187
Dryobalanops lanceolata,Dry,DL_m_3,E,149,15,4.31,0.527021452
Shorea seminis,Ssem,SS,E,150,3,2.19,
Shorea leprosula,Slep,9P_Slep_2,E,151,6,3.26,0.47651488
Shorea parvifolia,Spar,9Q_Spar_10,E,152,6,3.51,0.507348938
Parashorea tomentella,Ptom,9I_Ptom_5,E,153,18,3.71,
Parashorea tomentella,Ptom,Ptom_4,E,154,12,4.06,0.498637279
Shorea parvifolia,Spar,Sp_m_3,E,155,3,4.25,0.498637279
Shorea smithiana,Ssmi,Ssmi_4,E,156,0,5,0.45892562
Parashorea malaanonan,Pmal,9L_Pmal_9,E,157,3,4.16,0.489985
Shorea smithiana,Ssmi,Ssmi_5,E,158,9,5.54,0.399001205
Parashorea tomentella,Ptom,9I_Ptom_5,E,159,3,3.85,0.423174805
Shorea beccariana,Sbec,Sbec_Sfr,E,160,9,4.82,0.604714415
